GPS TOW (s), GPS Week, Latitude (deg), Longitude (deg), Ellipsoid Height (m), ECEF X (m), ECEF Y (m), ECEF Z (m), Roll (deg), Pitch (deg), Heading (deg), Velocity X (m/s), Velocity Y (m/s), Velocity Z (m/s), Acceleration X (m/s^2), Acceleration Y (m/s^2), Acceleration Z (m/s^2), Angular rate X (rad/s), Angular rate Y (rad/s), Angular rate Z (rad/s)
273377.40, 2032, 35.62931853, 139.78712595, 44.6994, -3963426.7980, 3350882.1575, 3694865.5457, -1.529885, 1.711428, 326.649484, -0.000000, -0.002000, 0.002000, 0.04820200, 0.01513800, -0.10369100, -0.00069100000, 0.00019800000, -0.00002000000
273377.50, 2032, 35.62931853, 139.78712595, 44.6994, -3963426.7980, 3350882.1576, 3694865.5457, -1.529403, 1.711427, 326.647987, -0.002000, 0.001000, -0.005000, 0.10290500, 0.01618500, 0.20987600, -0.00046700000, -0.00130300000, -0.00059500000
273377.60, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.529021, 1.715987, 326.648715, 0.004000, -0.001000, -0.000000, -0.17180300, 0.00952300, -0.15532600, 0.00202700000, 0.00106700000, 0.00074900000
273377.70, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.527990, 1.717058, 326.648517, -0.004000, -0.001000, 0.002000, 0.20709900, 0.02591300, 0.01595600, -0.00210400000, -0.00064700000, -0.00060200000
273377.80, 2032, 35.62931853, 139.78712595, 44.6994, -3963426.7980, 3350882.1576, 3694865.5457, -1.531377, 1.712364, 326.648303, -0.002000, 0.002000, -0.003000, -0.05238000, -0.06853900, 0.17335000, 0.00014400000, -0.00080800000, 0.00003300000
273377.90, 2032, 35.62931853, 139.78712595, 44.6994, -3963426.7980, 3350882.1576, 3694865.5458, -1.524879, 1.713281, 326.649898, 0.006000, -0.003000, 0.005000, -0.16516800, 0.05802900, -0.19959700, 0.00217700000, 0.00240600000, 0.00065900000
273378.00, 2032, 35.62931853, 139.78712595, 44.6994, -3963426.7980, 3350882.1576, 3694865.5458, -1.528984, 1.714453, 326.647962, -0.004000, -0.002000, -0.001000, 0.25206200, 0.03726300, 0.21005000, -0.00247600000, -0.00050600000, -0.00064300000
273378.10, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.526861, 1.716928, 326.649376, 0.001000, -0.002000, 0.002000, -0.11665200, -0.05078500, -0.07795000, 0.00035100000, 0.00261100000, 0.00013900000
273378.20, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.525979, 1.716390, 326.649026, 0.003000, -0.002000, 0.005000, -0.04622600, -0.01755900, -0.15552300, 0.00111200000, 0.00160900000, 0.00031600000
273378.30, 2032, 35.62931853, 139.78712595, 44.6994, -3963426.7980, 3350882.1576, 3694865.5457, -1.525251, 1.712820, 326.649114, -0.005000, 0.000000, -0.003000, 0.08863300, 0.01460400, 0.16535900, -0.00232600000, -0.00186300000, -0.00015800000
273378.40, 2032, 35.62931853, 139.78712595, 44.6994, -3963426.7980, 3350882.1576, 3694865.5458, -1.527039, 1.714415, 326.649300, -0.002000, -0.002000, -0.000000, -0.11655200, 0.02408900, -0.10057200, -0.00120800000, 0.00051200000, -0.00061400000
273378.50, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1577, 3694865.5458, -1.528508, 1.717808, 326.648170, 0.002000, -0.003000, 0.004000, -0.05598200, -0.08431000, -0.02619700, 0.00090500000, 0.00213800000, 0.00005300000
273378.60, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.526887, 1.715558, 326.649400, 0.001000, 0.003000, -0.002000, 0.04274600, 0.03313100, 0.01517100, 0.00168300000, -0.00132200000, 0.00082500000
273378.70, 2032, 35.62931853, 139.78712595, 44.6994, -3963426.7980, 3350882.1576, 3694865.5458, -1.527080, 1.713871, 326.649335, -0.003000, 0.001000, -0.002000, 0.09620100, 0.02493600, 0.01227600, -0.00143500000, -0.00122900000, -0.00018100000
273378.80, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.527698, 1.714796, 326.648981, -0.002000, -0.003000, 0.001000, -0.07589200, 0.01533100, -0.07516200, -0.00182100000, 0.00069300000, -0.00022500000
273378.90, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.528657, 1.715545, 326.649447, -0.001000, 0.001000, -0.002000, -0.08416200, -0.01673500, -0.02471600, 0.00014500000, -0.00122000000, -0.00020800000
273379.00, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.529072, 1.715609, 326.648617, 0.002000, -0.004000, 0.006000, -0.05505300, -0.04033700, 0.00699600, 0.00011300000, 0.00315900000, -0.00030100000
273379.10, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.529012, 1.714971, 326.648761, 0.001000, 0.001000, -0.002000, 0.04403000, -0.00901600, 0.01875400, 0.00141500000, -0.00070100000, 0.00020200000
273379.20, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.527371, 1.716172, 326.649369, 0.003000, -0.000000, -0.000000, -0.01345600, 0.00857900, 0.02618000, 0.00149000000, 0.00071300000, 0.00013500000
273379.30, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.525743, 1.716522, 326.649020, 0.001000, 0.000000, -0.001000, 0.06796600, 0.02514200, -0.00773600, 0.00065200000, 0.00009600000, 0.00028500000
273379.40, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.526918, 1.715378, 326.649599, -0.002000, 0.002000, -0.003000, 0.06529900, 0.02946100, -0.01790700, -0.00047700000, -0.00169900000, 0.00015900000
273379.50, 2032, 35.62931853, 139.78712595, 44.6994, -3963426.7980, 3350882.1576, 3694865.5458, -1.528413, 1.714391, 326.648890, -0.003000, 0.001000, -0.003000, -0.00608300, -0.00298900, 0.00147300, -0.00111100000, -0.00143100000, -0.00019900000
273379.60, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.529260, 1.715403, 326.648926, -0.001000, -0.001000, 0.000000, -0.00507400, -0.01553800, -0.02756700, -0.00133600000, 0.00019300000, 0.00002000000
273379.70, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.528070, 1.715193, 326.649369, -0.002000, 0.001000, -0.001000, 0.02533200, 0.00093000, -0.03270400, -0.00087200000, -0.00078600000, -0.00022300000
273379.80, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7980, 3350882.1576, 3694865.5458, -1.527629, 1.714549, 326.648915, -0.002000, 0.000000, -0.001000, -0.04819700, -0.01810200, -0.00315400, -0.00039200000, -0.00089500000, -0.00018000000
273379.90, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.527651, 1.714787, 326.649254, -0.000000, -0.002000, 0.001000, -0.09069600, -0.01660800, 0.01922100, -0.00044400000, 0.00077800000, -0.00011500000
273380.00, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.528539, 1.715654, 326.648917, 0.002000, -0.003000, 0.003000, -0.07118100, -0.01960700, -0.00147600, 0.00029300000, 0.00217200000, -0.00021400000
273380.10, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.527752, 1.715678, 326.648859, 0.002000, -0.002000, 0.003000, -0.00622600, -0.00221400, -0.00652300, 0.00067800000, 0.00189700000, 0.00009000000
273380.20, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.527354, 1.715640, 326.649195, 0.002000, 0.001000, -0.001000, 0.03187200, 0.01121600, 0.01322900, 0.00138100000, -0.00018600000, -0.00003600000
273380.30, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.527187, 1.715431, 326.648872, 0.002000, 0.001000, -0.002000, 0.01820400, 0.00892500, 0.04197400, 0.00150400000, -0.00037200000, 0.00005700000
273380.40, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.527190, 1.715744, 326.648986, 0.002000, 0.000000, -0.001000, 0.01719100, 0.00969000, 0.02749000, 0.00131800000, 0.00022900000, 0.00029000000
273380.50, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.526324, 1.716124, 326.649193, 0.003000, 0.000000, 0.000000, 0.03515900, 0.02102200, 0.01309800, 0.00125900000, 0.00079800000, 0.00027900000
273380.60, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.525630, 1.715765, 326.649102, 0.002000, 0.000000, -0.000000, 0.05562100, 0.01864000, -0.01527300, 0.00068000000, 0.00035000000, 0.00034700000
273380.70, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.525750, 1.715704, 326.649294, 0.001000, 0.000000, -0.001000, 0.05871700, 0.02979600, -0.03536100, 0.00020700000, -0.00000800000, 0.00022600000
273380.80, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.526539, 1.715453, 326.648999, -0.001000, 0.001000, -0.002000, 0.05001500, 0.01664900, -0.04165500, -0.00038300000, -0.00116000000, 0.00014100000
273380.90, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.526593, 1.715290, 326.649192, -0.001000, 0.002000, -0.003000, 0.02236700, -0.00251300, -0.03777600, -0.00087000000, -0.00186100000, 0.00015900000
273381.00, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.526759, 1.715225, 326.649155, -0.002000, 0.002000, -0.003000, 0.00335800, -0.01364200, -0.02018000, -0.00107800000, -0.00175200000, 0.00004500000
273381.10, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.526386, 1.715033, 326.649321, -0.002000, 0.002000, -0.002000, -0.01756300, -0.01242100, -0.00809000, -0.00127700000, -0.00162000000, 0.00006300000
273381.20, 2032, 35.62931853, 139.78712595, 44.6994, -3963426.7981, 3350882.1575, 3694865.5458, -1.526562, 1.714466, 326.649279, -0.001000, -0.000000, -0.001000, -0.03115100, -0.02627300, -0.01867800, -0.00160000000, -0.00055600000, -0.00005500000
273381.30, 2032, 35.62931853, 139.78712595, 44.6994, -3963426.7981, 3350882.1574, 3694865.5458, -1.527381, 1.714972, 326.648850, -0.001000, -0.001000, 0.000000, -0.01007500, -0.01802800, -0.04007000, -0.00178600000, -0.00010300000, -0.00007000000
273381.40, 2032, 35.62931853, 139.78712595, 44.6993, -3963426.7981, 3350882.1574, 3694865.5458, -1.528892, 1.719986, 326.648907, -0.002000, 0.001000, 0.001000, 0.10546700, -0.02964100, 0.03165700, -0.00159700000, 0.00245900000, 0.00077800000
273381.50, 2032, 35.62931854, 139.78712595, 44.6994, -3963426.7974, 3350882.1575, 3694865.5465, -1.531746, 1.736418, 326.653440, -0.013000, 0.017000, -0.000000, 0.11711400, 0.05343000, -0.10501300, -0.00201000000, 0.00070700000, 0.00024800000
273381.60, 2032, 35.62931856, 139.78712593, 44.6994, -3963426.7953, 3350882.1578, 3694865.5483, -1.540496, 1.732315, 326.649369, -0.022000, 0.030000, -0.001000, 0.10129500, 0.00128900, 0.00514700, -0.00183600000, -0.00235200000, -0.00084900000
273381.70, 2032, 35.62931859, 139.78712590, 44.6994, -3963426.7926, 3350882.1583, 3694865.5509, -1.545754, 1.734286, 326.650674, -0.025000, 0.038000, -0.002000, 0.09778900, 0.01341200, 0.00449700, -0.00127000000, -0.00015800000, 0.00094400000
273381.80, 2032, 35.62931862, 139.78712587, 44.6995, -3963426.7891, 3350882.1588, 3694865.5543, -1.552758, 1.737896, 326.657401, -0.030000, 0.047000, 0.002000, -0.01035500, 0.00612000, -0.02258100, -0.00119500000, 0.00034900000, 0.00070100000
273381.90, 2032, 35.62931867, 139.78712584, 44.6994, -3963426.7846, 3350882.1593, 3694865.5585, -1.553754, 1.734678, 326.657570, -0.037000, 0.056000, 0.001000, 0.02692600, -0.00137100, -0.00354800, -0.00027000000, -0.00006500000, -0.00073100000
273382.00, 2032, 35.62931872, 139.78712579, 44.6996, -3963426.7795, 3350882.1603, 3694865.5634, -1.561347, 1.738535, 326.655596, -0.042000, 0.060000, 0.005000, -0.00752500, -0.03567600, -0.03087500, -0.00175500000, 0.00252900000, 0.00015700000
273382.10, 2032, 35.62931878, 139.78712574, 44.6997, -3963426.7737, 3350882.1612, 3694865.5689, -1.569532, 1.740499, 326.661059, -0.046000, 0.070000, 0.004000, 0.01815900, -0.00330600, -0.03516100, -0.00123400000, 0.00160600000, 0.00085800000
273382.20, 2032, 35.62931885, 139.78712569, 44.6998, -3963426.7672, 3350882.1621, 3694865.5750, -1.574108, 1.740158, 326.664508, -0.050000, 0.077000, 0.004000, 0.00737300, 0.00008700, -0.04277700, -0.00052900000, 0.00106600000, -0.00012900000
273382.30, 2032, 35.62931892, 139.78712563, 44.6999, -3963426.7604, 3350882.1630, 3694865.5817, -1.575951, 1.740098, 326.666163, -0.052000, 0.082000, 0.005000, 0.01382000, -0.04194200, -0.03427200, -0.00043100000, 0.00200600000, 0.00046400000
273382.40, 2032, 35.62931900, 139.78712558, 44.7000, -3963426.7531, 3350882.1639, 3694865.5889, -1.578456, 1.744458, 326.673701, -0.057000, 0.091000, 0.002000, 0.16720000, -0.03979600, 0.01099800, -0.00056800000, 0.00150100000, 0.00164600000
273382.50, 2032, 35.62931909, 139.78712551, 44.7001, -3963426.7448, 3350882.1651, 3694865.5969, -1.583183, 1.754673, 326.681324, -0.065000, 0.101000, 0.008000, 0.22617900, 0.02480000, 0.12137000, -0.00118400000, 0.00532000000, 0.00112600000
273382.60, 2032, 35.62931920, 139.78712542, 44.7004, -3963426.7351, 3350882.1665, 3694865.6064, -1.592176, 1.773004, 326.687598, -0.083000, 0.128000, 0.005000, 0.48996600, 0.03600500, 0.10475300, -0.00193700000, 0.00488500000, 0.00145000000
273382.70, 2032, 35.62931933, 139.78712532, 44.7010, -3963426.7229, 3350882.1684, 3694865.6187, -1.598813, 1.809269, 326.703088, -0.101000, 0.159000, 0.023000, 0.60035900, -0.07844500, -0.19557700, -0.00127700000, 0.01560100000, 0.00435400000
273382.80, 2032, 35.62931951, 139.78712519, 44.7019, -3963426.7065, 3350882.1708, 3694865.6356, -1.594884, 1.853375, 326.729549, -0.148000, 0.241000, 0.005000, 0.90866500, -0.05477100, 0.07614200, 0.00094500000, 0.00309600000, 0.00505300000
273382.90, 2032, 35.62931976, 139.78712500, 44.7033, -3963426.6841, 3350882.1743, 3694865.6587, -1.602404, 1.892994, 326.759525, -0.199000, 0.315000, 0.017000, 1.03236600, -0.06231700, -0.03716000, -0.00255600000, 0.00643000000, 0.00590800000
273383.00, 2032, 35.62932008, 139.78712474, 44.7046, -3963426.6539, 3350882.1790, 3694865.6889, -1.624218, 1.908739, 326.801723, -0.265000, 0.413000, 0.010000, 1.15825500, -0.05885200, -0.05283300, -0.00489800000, -0.00213900000, 0.00928200000
273383.10, 2032, 35.62932050, 139.78712441, 44.7059, -3963426.6151, 3350882.1850, 3694865.7270, -1.668507, 1.906351, 326.867606, -0.333000, 0.510000, 0.018000, 1.21265100, 0.06777400, -0.00759600, -0.01215900000, 0.00027500000, 0.01266600000
273383.20, 2032, 35.62932101, 139.78712401, 44.7074, -3963426.5670, 3350882.1926, 3694865.7741, -1.737158, 1.890403, 326.941986, -0.402000, 0.626000, 0.015000, 1.30043900, 0.05132600, -0.13412700, -0.01114300000, -0.00567900000, 0.01268600000
273383.30, 2032, 35.62932162, 139.78712353, 44.7089, -3963426.5099, 3350882.2014, 3694865.8295, -1.822335, 1.849447, 327.019278, -0.465000, 0.722000, 0.017000, 1.09054700, -0.07120700, 0.13188100, -0.01492800000, -0.00851200000, 0.01580900000
273383.40, 2032, 35.62932230, 139.78712300, 44.7105, -3963426.4461, 3350882.2102, 3694865.8923, -1.873136, 1.818235, 327.132166, -0.495000, 0.797000, 0.022000, 0.79756100, 0.09450900, 0.06855200, -0.00691000000, -0.00133000000, 0.02236700000
273383.50, 2032, 35.62932305, 139.78712243, 44.7122, -3963426.3768, 3350882.2190, 3694865.9612, -1.910041, 1.807410, 327.250399, -0.534000, 0.879000, 0.014000, 0.75144000, 0.23352900, -0.07138900, -0.00563900000, -0.00634300000, 0.01779300000
273383.60, 2032, 35.62932387, 139.78712183, 44.7134, -3963426.3018, 3350882.2273, 3694866.0357, -1.923720, 1.765114, 327.351221, -0.563000, 0.947000, 0.003000, 0.44192400, -0.08794100, 0.03363800, 0.00101800000, -0.01563200000, 0.01888300000
273383.70, 2032, 35.62932474, 139.78712120, 44.7145, -3963426.2231, 3350882.2351, 3694866.1143, -1.919509, 1.701987, 327.487542, -0.579000, 0.978000, 0.011000, 0.35164800, -0.01889600, -0.03012300, -0.00093400000, -0.01320600000, 0.02676400000
273383.80, 2032, 35.62932563, 139.78712056, 44.7158, -3963426.1425, 3350882.2430, 3694866.1953, -1.918457, 1.637838, 327.643304, -0.582000, 0.997000, 0.016000, 0.05225200, 0.19177100, 0.03002000, 0.00124500000, -0.01069900000, 0.02519800000
273383.90, 2032, 35.62932653, 139.78711992, 44.7171, -3963426.0616, 3350882.2499, 3694866.2777, -1.884840, 1.587743, 327.774480, -0.566000, 1.006000, 0.021000, -0.03856100, 0.15115600, 0.03589700, 0.00824600000, -0.00414200000, 0.02150200000
273384.00, 2032, 35.62932744, 139.78711931, 44.7188, -3963425.9820, 3350882.2551, 3694866.3607, -1.819501, 1.565030, 327.910705, -0.541000, 1.013000, 0.018000, -0.02830000, -0.05112500, -0.02800200, 0.01503100000, -0.00384800000, 0.02681000000
273384.10, 2032, 35.62932835, 139.78711872, 44.7203, -3963425.9034, 3350882.2588, 3694866.4436, -1.707148, 1.552868, 328.089222, -0.537000, 1.007000, 0.014000, -0.10048200, -0.09648700, 0.13118100, 0.01807000000, -0.00260400000, 0.03300500000
273384.20, 2032, 35.62932925, 139.78711812, 44.7217, -3963425.8247, 3350882.2635, 3694866.5256, -1.643853, 1.539323, 328.255966, -0.552000, 0.997000, 0.015000, -0.07955500, 0.13947200, 0.01793200, 0.00470100000, -0.00349100000, 0.02521300000
273384.30, 2032, 35.62933014, 139.78711751, 44.7236, -3963425.7459, 3350882.2696, 3694866.6074, -1.628103, 1.541166, 328.387457, -0.558000, 0.992000, 0.026000, 0.22136200, 0.03155800, 0.02710900, -0.00058200000, 0.00226800000, 0.02373800000
273384.40, 2032, 35.62933105, 139.78711689, 44.7260, -3963425.6668, 3350882.2759, 3694866.6901, -1.626798, 1.559570, 328.554862, -0.564000, 1.014000, 0.025000, 0.14436800, -0.16245000, -0.07617600, -0.00049500000, 0.00140700000, 0.03355800000
273384.50, 2032, 35.62933198, 139.78711626, 44.7291, -3963425.5859, 3350882.2823, 3694866.7759, -1.631139, 1.587356, 328.754442, -0.580000, 1.054000, 0.043000, 0.89128500, 0.22706800, 0.04515000, -0.00164600000, 0.00922800000, 0.03459400000
273384.60, 2032, 35.62933297, 139.78711560, 44.7321, -3963425.5004, 3350882.2882, 3694866.8668, -1.619122, 1.620807, 328.944838, -0.614000, 1.141000, 0.028000, 0.89673100, 0.06760900, 0.22577900, 0.00214700000, 0.00452700000, 0.03257500000
273384.70, 2032, 35.62933404, 139.78711490, 44.7348, -3963425.4085, 3350882.2932, 3694866.9648, -1.575301, 1.663095, 329.154847, -0.655000, 1.236000, 0.028000, 1.16509800, -0.15354900, -0.06286300, 0.00745900000, 0.00625900000, 0.04263500000
273384.80, 2032, 35.62933520, 139.78711415, 44.7374, -3963425.3085, 3350882.2977, 3694867.0718, -1.523006, 1.681088, 329.419505, -0.702000, 1.362000, 0.032000, 1.15199400, 0.36230200, -0.65661500, 0.01451400000, -0.00202000000, 0.04516600000
273384.90, 2032, 35.62933649, 139.78711334, 44.7406, -3963425.1993, 3350882.3022, 3694867.1897, -1.463724, 1.589500, 329.643807, -0.770000, 1.502000, 0.034000, 1.33304300, 0.14094700, -0.00864100, 0.00980200000, -0.02882400000, 0.03697400000
273385.00, 2032, 35.62933787, 139.78711247, 44.7446, -3963425.0831, 3350882.3063, 3694867.3167, -1.394878, 1.496864, 329.908008, -0.799000, 1.574000, 0.042000, 1.09496400, -0.26426600, 0.57331200, 0.01050500000, -0.00727700000, 0.05451900000
273385.10, 2032, 35.62933932, 139.78711157, 44.7480, -3963424.9609, 3350882.3100, 3694867.4493, -1.332495, 1.507740, 330.256270, -0.844000, 1.640000, 0.032000, 0.99867200, 0.44016400, 0.17620400, 0.00182600000, 0.00701800000, 0.06232900000
